Acamprosato;ACAMPROSATO 333MG 84 UNITA' USO ORALE;CAMPRAL*84 cpr riv gastrores 333 mg;33,77;BRUNO FARMACEUTICI SpA;034208013;H0A;;;
Moroctocog alfa (Fattore VIII di coagulazione, ricombinante);MOROCTOCOG ALFA 500UI 4ML 1 UNITA' USO PARENTERALE;REFACTO AF*1 fiala EV 500 UI + 1 siringa 4 ml;566,82;PFIZER ITALIA Srl;034421026;LMM;;;
Moroctocog alfa (Fattore VIII di coagulazione, ricombinante);MOROCTOCOG ALFA 500UI 4ML 1 UNITA' USO PARENTERALE;REFACTO AF*1 siringa EV 500 UI + 1 fiala solv 4 ml;566,82;PFIZER ITALIA Srl;034421065;LMM;;;
Moroctocog alfa (Fattore VIII di coagulazione, ricombinante);MOROCTOCOG ALFA 3.000UI 4ML 1 UNITA' USO PARENTERALE;REFACTO AF*1 siringa EV 3.000 UI + 1 fiala solv 4 ml;3400,93;PFIZER ITALIA Srl;034421053;LMT;;;
Moxifloxacina;MOXIFLOXACINA 400MG 5 UNITA' USO ORALE;AVALOX*5 cpr riv 400 mg;21,67;BAYER SpA;034436016;P9A;;;
Moxifloxacina;MOXIFLOXACINA 400MG 5 UNITA' USO ORALE;OCTEGRA*5 cpr riv 400 mg;21,67;BAYER SpA;034564017;P9A;;;
Moxifloxacina;MOXIFLOXACINA 400MG 5 UNITA' USO ORALE;ACTIRA*5 cpr riv 400 mg;22,81;SIGMATAU IND.FARM.RIUNITE SpA;034566012;P9A;;;
Moxonidina;MOXONIDINA 0,2MG 28 UNITA' USO ORALE;MOXONIDINA*28 cpr riv 0,2 mg;6,99;EG SpA;036677033;EIA;X;;
Moxonidina;MOXONIDINA 0,2MG 28 UNITA' USO ORALE;MOXONIDINA*28 cpr riv 0,2 mg;6,99;MYLAN SpA;039676022;EIA;X;;
Moxonidina;MOXONIDINA 0,2MG 28 UNITA' USO ORALE;FISIOTENS*28 cpr riv 0,2 mg;8,74;ABBOTT Srl;034063014;EIA;X;;
Moxonidina;MOXONIDINA 0,4MG 28 UNITA' USO ORALE;MOXONIDINA*28 cpr riv 0,4 mg;11,50;EG SpA;036677211;EIB;X;;
Moxonidina;MOXONIDINA 0,4MG 28 UNITA' USO ORALE;MOXONIDINA*28 cpr riv 0,4 mg;11,50;MYLAN SpA;039676085;EIB;X;;
Moxonidina;MOXONIDINA 0,4MG 28 UNITA' USO ORALE;FISIOTENS*28 cpr riv 0,4 mg;14,37;ABBOTT Srl;034063053;EIB;X;;
Nabumetone;NABUMETONE 1.000MG 30 UNITA' USO ORALE;ARTAXAN*30 cpr riv 1 g;17,77;MALESCI SpA IST.FARMACOBIOL.;026672079;D2A;;;
Nabumetone;NABUMETONE 1.000MG 30 UNITA' USO ORALE;ARTAXAN*os grat 30 bust 1 g;17,77;MALESCI SpA IST.FARMACOBIOL.;026672081;D2A;;;
Nabumetone;NABUMETONE 1.000MG 30 UNITA' USO ORALE;RELIFEX*30 cpr riv 1 g;17,77;MEDA PHARMA SpA;033500012;D2A;;;
Nadroparina;NADROPARINA 2.850UI aXa/0,3ML 6 UNITA' USO PARENTERALE;FRAXIPARINA*6 siringhe SC 2.850 UI 0,3 ml;19,16;GLAXOSMITHKLINE SpA;026736064;D3A;;Toscana;
Nadroparina;NADROPARINA 2.850UI aXa/0,3ML 6 UNITA' USO PARENTERALE;SELEPARINA*6 siringhe SC 2.850 UI 0,3 ml;19,18;ITALFARMACO SpA;026738017;D3A;;Toscana;
Nadroparina;NADROPARINA 3.800UI 6 UNITA' USO PARENTERALE;FRAXIPARINA*6 siringhe SC 3.800 UI 0,4 ml;25,87;GLAXOSMITHKLINE SpA;026736076;D3B;;;
Nadroparina;NADROPARINA 3.800UI 6 UNITA' USO PARENTERALE;SELEPARINA*6 siringhe SC 3.800 UI 0,4 ml;25,87;ITALFARMACO SpA;026738056;D3B;;;
Nadroparina;NADROPARINA 5.700UI 10 UNITA' USO PARENTERALE;FRAXIPARINA*10 siringhe SC 5.700 UI 0,6 ml;57,09;GLAXOSMITHKLINE SpA;026736088;D3C;;;
Nadroparina;NADROPARINA 5.700UI 10 UNITA' USO PARENTERALE;SELEPARINA*10 siringhe SC 5.700 UI 0,6 ml;57,09;ITALFARMACO SpA;026738070;D3C;;;
Nadroparina;NADROPARINA 7.600UI 10 UNITA' USO PARENTERALE;FRAXIPARINA*10 siringhe SC 7.600 UI 0,8 ml;64,80;GLAXOSMITHKLINE SpA;026736090;D3D;;;
Nadroparina;NADROPARINA 7.600UI 10 UNITA' USO PARENTERALE;SELEPARINA*10 siringhe SC 7.600 UI 0,8 ml;64,80;ITALFARMACO SpA;026738094;D3D;;;
Nadroparina;NADROPARINA 9.500UI 10 UNITA' USO PARENTERALE;FRAXIPARINA*10 siringhe SC 9.500 UI 1 ml;56,53;GLAXOSMITHKLINE SpA;026736102;D3E;;;
Nadroparina;NADROPARINA 9.500UI 10 UNITA' USO PARENTERALE;SELEPARINA*10 siringhe SC 9.500 UI 1 ml;56,53;ITALFARMACO SpA;026738118;D3E;;;
Nadroparina;NADROPARINA 11.400UI 2 UNITA' USO PARENTERALE;FRAXODI*2 siringhe SC 11.400 UI 0,6 ml;17,40;GLAXOSMITHKLINE SpA;036458014;D3F;;;
Nadroparina;NADROPARINA 11.400UI 2 UNITA' USO PARENTERALE;SELEDIE*2 siringhe SC 11.400 UI 0,6 ml;17,40;ITALFARMACO SpA;034668018;D3F;;;
Nadroparina;NADROPARINA 15.200UI 2 UNITA' USO PARENTERALE;FRAXODI*2 siringhe SC 15.200 UI 0,8 ml;23,18;GLAXOSMITHKLINE SpA;036458040;D3G;;;
Nadroparina;NADROPARINA 15.200UI 2 UNITA' USO PARENTERALE;SELEDIE*2 siringhe SC 15.200 UI 0,8 ml;23,18;ITALFARMACO SpA;034668044;D3G;;;
Nadroparina;NADROPARINA 19.000UI 2 UNITA' USO PARENTERALE;FRAXODI*2 siringhe SC 19.000 UI 1 ml;29,07;GLAXOSMITHKLINE SpA;036458077;D3H;;;
Nadroparina;NADROPARINA 19.000UI 2 UNITA' USO PARENTERALE;SELEDIE*2 siringhe SC 19.000 UI 1 ml;29,07;ITALFARMACO SpA;034668071;D3H;;;
Naloxone;NALOXONE 0,4MG 1 UNITA' USO PARENTERALE;NARCAN*1 fiala EV IM SC 0,4 mg 1 ml;3,91;SIRTON MEDICARE SpA;023976018;A6A;X;;
Naloxone;NALOXONE 0,04MG 1 UNITA' USO PARENTERALE;NARCAN*1 fiala EV IM SC 0,04 mg 2 ml;1,76;SIRTON MEDICARE SpA;023976020;A6B;;;
Naltrexone;NALTREXONE 50MG 14 UNITA' USO ORALE;NALTREXONE*14 cpr riv 50 mg;25,34;ACCORD HEALTHCARE ITALIA Srl;040955027;FOA;X;;
Naltrexone;NALTREXONE 50MG 14 UNITA' USO ORALE;NALOREX*14 cpr riv 50 mg;26,69;MOLTENI & C. F.LLI ALITTI SpA;025969039;FOA;X;;
Naltrexone;NALTREXONE 50MG 14 UNITA' USO ORALE;ANTAXONE*14 cps 50 mg;33,77;ZAMBON ITALIA Srl;025855077;FOA;X;;
Naltrexone;NALTREXONE 50MG 10 UNITA' USO ORALE;NARCORAL*10 cpr 50 mg;25,37;SIRTON MEDICARE SpA;028248021;FOB;;;
Naltrexone;NALTREXONE 50MG 10 UNITA' USO ORALE;ANTAXONE*os soluz 10 flaconcini 50 mg;26,75;ZAMBON ITALIA Srl;025855065;FOC;;;
Naproxene;NAPROXENE 500MG 30 UNITA' USO ORALE;NAPROXENE*30 cps 550 mg;4,78;TEVA ITALIA Srl;027170012;30A;X;;
Naproxene;NAPROXENE 500MG 30 UNITA' USO ORALE;ALGONAPRIL*30 cpr 500 mg;5,12;EG SpA;033294012;30A;X;;
Naproxene;NAPROXENE 500MG 30 UNITA' USO ORALE;NAPROXENE SODICO*30 cpr riv 550 mg;5,12;DOC GENERICI Srl;034792010;30A;X;;
Naproxene;NAPROXENE 500MG 30 UNITA' USO ORALE;NAPROXENE*30 cpr 500 mg;5,12;GERMED PHARMA SpA;024505075;30A;X;;
Naproxene;NAPROXENE 500MG 30 UNITA' USO ORALE;PREXAN*30 bust grat 500 mg;5,12;NEW RESEARCH Srl;024467108;30A;X;;
Naproxene;NAPROXENE 500MG 30 UNITA' USO ORALE;PREXAN*30 cpr 500 mg;5,12;NEW RESEARCH Srl;024467058;30A;X;;
Naproxene;NAPROXENE 500MG 30 UNITA' USO ORALE;NAPROSYN*30 bust grat 500 mg;7,97;RECORDATI SpA;023177138;30A;X;;
Naproxene;NAPROXENE 500MG 30 UNITA' USO ORALE;SYNFLEX FORTE*30 bust grat 550 mg;7,97;RECORDATI SpA;024722086;30A;X;;
Naproxene;NAPROXENE 500MG 30 UNITA' USO ORALE;NAPROSYN*EC 30 cpr gastrores 500 mg;8,54;RECORDATI SpA;023177215;30A;X;;
Naproxene;NAPROXENE 500MG 30 UNITA' USO ORALE;SYNFLEX FORTE*30 cpr riv 550 mg;8,54;RECORDATI SpA;024722047;30A;X;;
Naproxene;NAPROXENE 750MG 20 UNITA' USO ORALE;LASER*20 cpr 750 mg rilascio controllato;7,68;EURO-PHARMA Srl;023886082;30C;X;;
Naproxene;NAPROXENE 750MG 20 UNITA' USO ORALE;NAPROSYN*20 cpr 750 mg rilascio modificato;8,54;RECORDATI SpA;023177189;30C;X;;
Nebivololo;NEBIVOLOLO 5MG 28 UNITA' USO ORALE;NEBISCON*28 cpr div 5 mg;6,10;ERREKAPPA EUROTERAPICI SpA;039809013;EZA;X;;
Nebivololo;NEBIVOLOLO 5MG 28 UNITA' USO ORALE;NEBISTALIN*28 cpr 5 mg;6,10;SPECIFAR S.A.;039400015;EZA;X;;
Nebivololo;NEBIVOLOLO 5MG 28 UNITA' USO ORALE;NEBIVOLOLO*28 cpr 5 mg;6,10;EG SpA;037806039;EZA;X;;
Nebivololo;NEBIVOLOLO 5MG 28 UNITA' USO ORALE;NEBIVOLOLO*28 cpr 5 mg;6,10;ZENTIVA ITALIA Srl;037999051;EZA;X;;
Nebivololo;NEBIVOLOLO 5MG 28 UNITA' USO ORALE;NEBIVOLOLO*28 cpr 5 mg;6,10;TEVA ITALIA Srl;038022051;EZA;X;;
Nebivololo;NEBIVOLOLO 5MG 28 UNITA' USO ORALE;NEBIVOLOLO*28 cpr 5 mg;6,10;SANDOZ SpA;038132054;EZA;X;;
Nebivololo;NEBIVOLOLO 5MG 28 UNITA' USO ORALE;NEBIVOLOLO*28 cpr 5 mg;6,10;ANGENERICO SpA;038134058;EZA;X;;
Nebivololo;NEBIVOLOLO 5MG 28 UNITA' USO ORALE;NEBIVOLOLO*28 cpr 5 mg;6,10;MYLAN SpA;038446047;EZA;X;;
Nebivololo;NEBIVOLOLO 5MG 28 UNITA' USO ORALE;NEBIVOLOLO*28 cpr 5 mg;6,10;LABORATORI ALTER Srl;038512048;EZA;X;;
Nebivololo;NEBIVOLOLO 5MG 28 UNITA' USO ORALE;NEBIVOLOLO*28 cpr 5 mg;6,10;TECNIGEN Srl;038524056;EZA;X;;
Nebivololo;NEBIVOLOLO 5MG 28 UNITA' USO ORALE;NEBIVOLOLO*28 cpr 5 mg;6,10;RANBAXY ITALIA SpA;038525059;EZA;X;;
Nebivololo;NEBIVOLOLO 5MG 28 UNITA' USO ORALE;NEBIVOLOLO*28 cpr 5 mg;6,10;A.W.P. Srl;038526051;EZA;X;;
Nebivololo;NEBIVOLOLO 5MG 28 UNITA' USO ORALE;NEBIVOLOLO*28 cpr 5 mg;6,10;DOC GENERICI Srl;038566042;EZA;X;;
Nebivololo;NEBIVOLOLO 5MG 28 UNITA' USO ORALE;NEBIVOLOLO*28 cpr 5 mg;6,10;ACTAVIS ITALY SpA;038616049;EZA;X;;
Nebivololo;NEBIVOLOLO 5MG 28 UNITA' USO ORALE;NEBIVOLOLO*28 cpr 5 mg;6,10;PENSA PHARMA SpA;039418013;EZA;X;;
Nebivololo;NEBIVOLOLO 5MG 28 UNITA' USO ORALE;NEBIVOLOLO*28 cpr 5 mg;6,10;GERMED PHARMA SpA;039991017;EZA;X;;
Nebivololo;NEBIVOLOLO 5MG 28 UNITA' USO ORALE;NEBIVOLOLO*28 cpr div 5 mg;6,10;PHARMACARE Srl;039807019;EZA;X;;
Nebivololo;NEBIVOLOLO 5MG 28 UNITA' USO ORALE;NEBIVOLOLO*28 cpr div 5 mg;6,10;ERREKAPPA EUROTERAPICI SpA;039808011;EZA;X;;
Nebivololo;NEBIVOLOLO 5MG 28 UNITA' USO ORALE;NOBISTAR*28 cpr riv 5 mg;6,10;MENARINI INTERNAT. O.L.S.A;035780030;EZA;X;;
Nebivololo;NEBIVOLOLO 5MG 28 UNITA' USO ORALE;LOBIVON*28 cpr 5 mg;7,71;A.MENARINI IND.FARM.RIUN.Srl;032210015;EZA;X;;
Nebivololo;NEBIVOLOLO 5MG 28 UNITA' USO ORALE;NEBILOX*28 cpr div 5 mg;8,21;GLAXOSMITHKLINE SpA;032209013;EZA;X;;
Nebivololo/idroclorotiazide;NEBIVOLOLO+IDROCLOROTIAZIDE 5+25MG 28 UNITA' USO ORALE;ALONEB*28 cpr riv 5 mg + 25 mg;10,29;MENARINI INTERNAT. O.L.S.A;039180094;PAA;;;
Nebivololo/idroclorotiazide;NEBIVOLOLO+IDROCLOROTIAZIDE 5+25MG 28 UNITA' USO ORALE;LOBIDIUR*28 cpr riv 5 mg + 25 mg;10,83;MENARINI INTERNAT. O.L.S.A;039181096;PAA;;;
Nebivololo/idroclorotiazide;NEBIVOLOLO+IDROCLOROTIAZIDE 5+25MG 28 UNITA' USO ORALE;NOBIZIDE*28 cpr riv 5 mg + 25 mg;10,83;MENARINI INTERNAT. O.L.S.A;039182098;PAA;;;
Nebivololo/idroclorotiazide;NEBIVOLOLO+IDROCLOROTIAZIDE 5+12,5MG 28 UNITA' USO ORALE;ALONEB*28 cpr riv 5 mg + 12,5 mg;10,29;MENARINI INTERNAT. O.L.S.A;039180031;PAB;;;
Nebivololo/idroclorotiazide;NEBIVOLOLO+IDROCLOROTIAZIDE 5+12,5MG 28 UNITA' USO ORALE;LOBIDIUR*28 cpr riv 5 mg + 12,5 mg;10,83;MENARINI INTERNAT. O.L.S.A;039181033;PAB;;;
Nebivololo/idroclorotiazide;NEBIVOLOLO+IDROCLOROTIAZIDE 5+12,5MG 28 UNITA' USO ORALE;NOBIZIDE*28 cpr riv 5 mg + 12,5 mg;10,83;MENARINI INTERNAT. O.L.S.A;039182035;PAB;;;
Nedocromile;NEDOCROMILE 10MG/2ML 36 UNITA' USO RESPIRATORIO;TILADE*aerosol 36 fiale 10 mg 2 ml;15,18;SANOFI-AVENTIS SpA;026632036;PBA;;;
Nedocromile;NEDOCROMILE 2MG 112 DOSI USO RESPIRATORIO;TILADE*aerosol 112 erog 2 mg;17,51;SANOFI-AVENTIS SpA;026632048;PBB;;;
Neostigmina;NEOSTIGMINA 0,5MG 6 UNITA' USO PARENTERALE;INTRASTIGMINA*6 fiale IM 0,5 mg 1 ml;1,55;IST.LUSOFARMACO D'ITALIA SpA;006141016;PCA;;;
Netilmicina;NETILMICINA 100MG 1ML 1 UNITA' USO PARENTERALE;ZETAMICIN 100*1 fiala IM EV 100 mg 1 ml;3,93;A.MENARINI IND.FARM.RIUN.Srl;024829032;PDA;;;
Netilmicina;NETILMICINA 150MG 1,5ML 1 UNITA' USO PARENTERALE;ZETAMICIN 150*1 fiala IM EV 150 mg 1,5 ml;4,95;A.MENARINI IND.FARM.RIUN.Srl;024829044;PDB;;;
Netilmicina;NETILMICINA 200MG 2ML 1 UNITA' USO PARENTERALE;ZETAMICIN 200*1 fiala IM EV 200 mg 2 ml;6,33;A.MENARINI IND.FARM.RIUN.Srl;024829057;PDC;;;
Netilmicina;NETILMICINA 300MG 3ML 1 UNITA' USO PARENTERALE;ZETAMICIN 300*1 fiala IM EV 300 mg 3 ml;9,41;A.MENARINI IND.FARM.RIUN.Srl;024829069;PDD;;;
Netilmicina;NETILMICINA 50MG 1ML 1 UNITA' USO PARENTERALE;ZETAMICIN 50*1 fiala IM EV 50 mg 1 ml;2,27;A.MENARINI IND.FARM.RIUN.Srl;024829020;PDE;;;
Nicardipina;NICARDIPINA 40MG 30 UNITA' USO ORALE;NICARDIPINA*30 cps 40 mg rilascio prolungato;4,11;MYLAN SpA;033129014;11A;X;;
Nicardipina;NICARDIPINA 40MG 30 UNITA' USO ORALE;BIONICARD*30 cps 40 mg rilascio modificato;4,96;ROTTAPHARM SpA;026071035;11A;X;;
Nicardipina;NICARDIPINA 40MG 30 UNITA' USO ORALE;PERDIPINA*30 cps 40 mg rilascio modificato;4,96;ASTELLAS PHARMA SpA;026018034;11A;X;;
Nicardipina;NICARDIPINA 40MG 30 UNITA' USO ORALE;NICARDAL*30 cps 40 mg rilascio modificato;6,17;ITALFARMACO SpA;025991035;11A;X;;
Nicardipina;NICARDIPINA 20MG 50 UNITA' USO ORALE;BIONICARD*50 cpr 20 mg;7,59;ROTTAPHARM SpA;026071023;11C;;;
Nicardipina;NICARDIPINA 20MG 50 UNITA' USO ORALE;NICARDAL*50 cpr riv 20 mg;7,59;ITALFARMACO SpA;025991023;11C;;;
Nicardipina;NICARDIPINA 20MG 50 UNITA' USO ORALE;PERDIPINA*50 cpr riv 20 mg;7,59;ASTELLAS PHARMA SpA;026018022;11C;;;
Niclosamide;NICLOSAMIDE 50MG 4 UNITA' USO ORALE;YOMESAN*4 cpr 500 mg;2,84;BAYER SpA;018725010;PEA;;;
Nifedipina;NIFEDIPINA 30MG 14 UNITA' USO ORALE;AMARKOR*14 cpr riv 30 mg rilascio prolungato;5,52;S.F.GROUP Srl;035067014;12A;X;;
Nifedipina;NIFEDIPINA 30MG 14 UNITA' USO ORALE;CORAL*14 cpr riv 30 mg rilascio modificato;5,52;SO.SE.PHARM Srl;024599045;12A;X;;
Nifedipina;NIFEDIPINA 30MG 14 UNITA' USO ORALE;EUXAT 30*14 cpr riv 30 mg rilascio modificato;5,52;PH&T SpA;032165019;12A;X;;
Nifedipina;NIFEDIPINA 30MG 14 UNITA' USO ORALE;FENIDINA*14 cpr riv 30 mg rilascio modificato;5,52;S.F.GROUP Srl;026586014;12A;X;;
Nifedipina;NIFEDIPINA 30MG 14 UNITA' USO ORALE;NIFEDIPINA*14 cpr riv 30 mg rilascio prolungato;5,52;EG SpA;032804039;12A;X;;
Nifedipina;NIFEDIPINA 30MG 14 UNITA' USO ORALE;NIPIN*14 cpr riv 30 mg rilascio modificato;5,52;LISAPHARMA SpA;031806019;12A;X;;
Nifedipina;NIFEDIPINA 60MG 14 UNITA' USO ORALE;AMARKOR*14 cpr riv 60 mg rilascio prolungato;8,21;S.F.GROUP Srl;035067026;12B;X;;
Nifedipina;NIFEDIPINA 60MG 14 UNITA' USO ORALE;CORAL*14 cpr riv 60 mg rilascio modificato;8,21;SO.SE.PHARM Srl;024599058;12B;X;;
Nifedipina;NIFEDIPINA 60MG 14 UNITA' USO ORALE;EUXAT 60*14 cpr riv 60 mg rilascio modificato;8,21;PH&T SpA;032165021;12B;X;;
Nifedipina;NIFEDIPINA 60MG 14 UNITA' USO ORALE;FENIDINA*14 cpr riv 60 mg rilascio modificato;8,21;S.F.GROUP Srl;026586026;12B;X;;
Nifedipina;NIFEDIPINA 60MG 14 UNITA' USO ORALE;NIFEDIPINA*14 cpr riv 60 mg rilascio prolungato;8,21;EG SpA;032804041;12B;X;;
Nifedipina;NIFEDIPINA 60MG 14 UNITA' USO ORALE;NIPIN*14 cpr riv 60 mg rilascio modificato;8,21;LISAPHARMA SpA;031806021;12B;X;;
Nifedipina;NIFEDIPINA 10MG 50 UNITA' USO ORALE;NIFEDICOR*50 cps 10 mg;4,20;MEDA PHARMA SpA;024608022;12C;X;;
Nifedipina;NIFEDIPINA 20MG 50 UNITA' USO ORALE RP;CITILAT*50 cpr 20 mg rilascio prolungato;5,63;C.T. LAB.FARMACEUTICO Srl;024085045;12D;X;;
Nifedipina;NIFEDIPINA 20MG 50 UNITA' USO ORALE RP;NIFEDIPINA*50 cpr 20 mg rilascio prolungato;5,63;MYLAN SpA;033026030;12D;X;;
Nifedipina;NIFEDIPINA 20MG 50 UNITA' USO ORALE RP;NIFEDIPINA*50 cpr 20 mg rilascio prolungato;5,63;SANDOZ SpA;033278019;12D;X;;
Nifedipina;NIFEDIPINA 20MG 50 UNITA' USO ORALE RP;NIFEDIPINA*50 cps 20 mg rilascio prolungato;5,63;EG SpA;032804027;12D;X;;
Nifedipina;NIFEDIPINA 20MG 50 UNITA' USO ORALE RP;NIFEDIPINA*50 cps 20 mg rilascio prolungato;5,63;DOC GENERICI Srl;034105015;12D;X;;
Nifedipina;NIFEDIPINA 20MG 50 UNITA' USO ORALE RP;NIFEDICOR*50 cpr riv 20 mg;6,20;MEDA PHARMA SpA;024608059;12D;X;;
Nifedipina;NIFEDIPINA 20MG 50 UNITA' USO ORALE RP;ADALAT*50 cpr riv 20 mg rilascio modificato;11,96;BAYER SpA;023316033;12D;X;;
Nifedipina;NIFEDIPINA 20MG 14 UNITA' USO ORALE;ADALAT CRONO*14 cpr 20 mg rilascio modificato;4,84;BAYER SpA;027980034;12E;;;
Nifedipina;NIFEDIPINA 20MG 50 UNITA' USO ORALE;NIFEDICOR*50 cps 20 mg;6,20;MEDA PHARMA SpA;024608034;12F;X;;
Nifedipina;NIFEDIPINA 2% 30ML USO ORALE;NIFEDICOR*os gtt 30 ml 2%;6,80;MEDA PHARMA SpA;024608046;12G;;;
Nifedipina;NIFEDIPINA 30MG 14 UNITA' USO ORALE RP;NIFEDIPINA*14 cpr riv 30 mg rilascio prolungato;5,52;MYLAN SpA;033718026;12X;X;;
Nifedipina;NIFEDIPINA 30MG 14 UNITA' USO ORALE RP;NIFEDIPINA*14 cpr riv 30 mg rilascio prolungato;5,52;DOC GENERICI Srl;036395022;12X;X;;
Nifedipina;NIFEDIPINA 30MG 14 UNITA' USO ORALE RP;ADALAT CRONO*14 cpr 30 mg rilascio modificato;6,77;BAYER SpA;027980010;12X;X;;
Nifedipina;NIFEDIPINA 60MG 14 UNITA' USO ORALE RP;NIFEDIPINA*14 cpr riv 60 mg rilascio prolungato;8,21;MYLAN SpA;033718038;12Y;X;;
Nifedipina;NIFEDIPINA 60MG 14 UNITA' USO ORALE RP;NIFEDIPINA*14 cpr riv 60 mg rilascio prolungato;8,21;DOC GENERICI Srl;036395010;12Y;X;;
Nifedipina;NIFEDIPINA 60MG 14 UNITA' USO ORALE RP;ADALAT CRONO*14 cpr 60 mg rilascio modificato;9,12;BAYER SpA;027980022;12Y;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;DOMES*30 bust grat 100 mg;2,36;SO.SE.PHARM Srl;029478017;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;DOMES*30 cpr orodispers 100 mg;2,36;SO.SE.PHARM Srl;029478056;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;LEDOREN*30 bust grat 100 mg;2,36;CRINOS SpA;028519039;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;LEDOREN*30 cpr 100 mg;2,36;CRINOS SpA;028519015;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;NIMESULIDE*30 bust grat 100 mg;2,36;PENSA PHARMA SpA;029182033;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;NIMESULIDE*30 bust grat 100 mg;2,36;HEXAL SpA;029198013;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;NIMESULIDE*30 bust grat 100 mg;2,36;SANDOZ SpA;032095010;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;NIMESULIDE*30 bust grat 100 mg;2,36;LABORATORI ALTER Srl;032326023;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;NIMESULIDE*30 bust grat 100 mg;2,36;TEVA ITALIA Srl;032983025;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;NIMESULIDE*30 bust grat 100 mg;2,36;MYLAN SpA;033052034;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;NIMESULIDE*30 bust grat 100 mg;2,36;DOC GENERICI Srl;033578042;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;NIMESULIDE*30 bust grat 100 mg;2,36;EG SpA;033649029;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;NIMESULIDE*30 bust grat 100 mg;2,36;RATIOPHARM ITALIA Srl;033673029;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;NIMESULIDE*30 bust grat 100 mg;2,36;GERMED PHARMA SpA;033950027;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;NIMESULIDE*30 bust grat 100 mg;2,36;ALMUS Srl;034200028;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;NIMESULIDE*30 bust grat 100 mg;2,36;UNION HEALTH Srl;035106020;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;NIMESULIDE*30 bust os grat 100 mg;2,36;ANGENERICO SpA;032923017;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;NIMESULIDE*30 cpr 100 mg;2,36;PENSA PHARMA SpA;029182019;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;NIMESULIDE*30 cpr 100 mg;2,36;MYLAN SpA;033052010;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;NIMESULIDE*30 cpr 100 mg;2,36;EG SpA;033649017;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;NIMESULIDE*30 cpr 100 mg;2,36;RATIOPHARM ITALIA Srl;033673017;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;NIMESULIDE*30 cpr 100 mg;2,36;GERMED PHARMA SpA;033950015;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;NIMESULIDE*30 cpr 100 mg;2,36;ALMUS Srl;034200016;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;NIMESULIDE*30 cpr 100 mg;2,36;HEXAL SpA;034245011;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;NIMESULIDE*30 cps 100 mg;2,36;SANDOZ SpA;032095022;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;PANTAMES*30 cpr orodispers 100 mg;2,36;S.F.GROUP Srl;036384016;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;EFRIDOL*30 bust grat 100 mg;2,60;AESCULAPIUS FARMACEUTICI Srl;032932030;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;FANSULIDE*30 cpr 100 mg;2,60;SOFAR SpA;034029013;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;FLOLID*30 bust grat 100 mg;2,60;C.T. LAB.FARMACEUTICO Srl;028778037;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;ISODOL*30 bust grat 100 mg;2,60;MAGIS FARMACEUTICI SpA;032337038;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;NERELID*30 bust grat 100 mg;2,60;NEW RESEARCH Srl;033078027;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;NIMESULIDE*30 bust grat 100 mg;2,60;RANBAXY ITALIA SpA;033702022;32A;X;;
